title,slug,outcome,avg_price,current_price,size,value_usd,cash_pnl,percent_pnl
Suns vs. Bulls: O/U 236.5,nba-phx-chi-2026-04-05-total-236pt5,Over,0.533808,0.0,13.82808,7.812865199999999,0.4313254713599998,5.8432994634775035
Raptors vs. Celtics: O/U 220.5,nba-tor-bos-2026-04-05-total-220pt5,Over,0.51,0.0,14.244895,7.26489645,0.0,0.0
Spread: Thunder (-20.5),nba-uta-okc-2026-04-05-spread-home-20pt5,Jazz,0.43,0.0,17.333317,7.193326555,-0.2599997549999999,-3.4883720930232545
Spread: Los Angeles Dodgers (-1.5),mlb-lad-wsh-2026-04-05-spread-away-1pt5,Washington Nationals,0.45764,0.0,15.591996,7.1723181600000006,0.03679711055999994,0.5156891880080404
Spread: Celtics (-9.5),nba-tor-bos-2026-04-05-spread-home-9pt5,Celtics,0.51,0.0,13.82376,6.8427612,-0.20735640000000038,-2.9411764705882404
Milwaukee Brewers vs. Kansas City Royals: O/U 9.5,mlb-mil-kc-2026-04-03-total-9pt5,Under,0.530068,0.0,12879.621459,6.4398107295,-6820.6353767997125,-99.90567247975731
Spread: Clippers (-11.5),nba-lac-sac-2026-04-05-spread-away-11pt5,Kings,0.45,0.0,13.220908,6.14772222,0.1983136200000001,3.333333333333335
Spread: Celtics (-10.5),nba-tor-bos-2026-04-05-spread-home-10pt5,Raptors,0.528798,0.0,10.359828,5.542507980000001,0.06425165325600095,1.1728486113790317
Tulsa Golden Hurricane vs. Auburn Tigers: O/U 161.5,cbb-tulsa-aubrn-2026-04-05-total-161pt5,Under,0.52,0.0,10.291662,5.50603917,0.1543749299999997,2.884615384615379
Hornets vs. Timberwolves,nba-cha-min-2026-04-05,Timberwolves,0.480044,0.0,10.62501,4.94062965,-0.15984265044,-3.133879394388847
Rockets vs. Warriors: O/U 225.5,nba-hou-gsw-2026-04-05-total-225pt5,Under,0.5,0.0,9.91,4.90545,-0.04955,-1.0
Spread: Thunder (-22.5),nba-uta-okc-2026-04-05-spread-home-22pt5,Jazz,0.47,0.0,9.433961,4.481131475,0.047169804999999704,1.0638297872340359
Tulsa Golden Hurricane vs. Auburn Tigers: O/U 162.5,cbb-tulsa-aubrn-2026-04-05-total-162pt5,Over,0.43,0.0,10.087712,4.2872775999999995,-0.05043856000000052,-1.1627906976744307
Pacers vs. Cavaliers: O/U 238.5,nba-ind-cle-2026-04-05-total-238pt5,Over,0.52,0.0,6.249997,3.3749983800000005,0.1249999400000004,3.8461538461538587
